Company Name,Website URL,Company Description,Discovered Date,Outreach Date,Contact Name,Followup Date,Meeting Notes Document URL,Next Step,Built With,Contact Method,Email,Phone Number
Hip Hound,https://hiphoundshop.com/,Pet Supply Store,08/08/24,,,,,,,,,
Four Paws,http://www.forpawspdx.com/,Pet Supply Store,08/08/24,,,,,,,,,
Cloud Cap Games,https://cloudcapgames.com/,Game Shop,08/09/24,09/23/24,Alex and Ty.,,,,,email ,info@cloudcapgames.com,
Oregon Community Alliance of Tennants,https://www.oregoncat.org/,Non-profit Renter's Rights,08/13/24,,,,,,,,,
Ordo Fanaticus,https://www.ordofanaticus.com/index.html/,Board Game Club,08/13/24,,,,,,,,,
Spartan Shop,https://spartan-shop.com/,Art Gallery,08/13/24,,,,,,,,,
Beau Thai,https://www.beauthai.com/index.html,Thai Food Resturant,08/13/24,,,,,,,,,
Oni Press,https://www.onipress.com/,Comic Publishers,08/13/24,,,,,,,,,
1985 Games,https://1985games.com/,Game shop,08/13/24,,,,,,,,,
Davy Jones Lock Hair,https://www.davyjoneslockhair.com/,Hair Salon,08/13/24,,,,,,,,,
Hour Noon,https://hournoon.com/,Tattoo shop,08/13/24,,,,,,,,,
Fern Gully Tattoo Studio,https://www.ferngullystudio.com/,Tattoo shop,08/13/24,09/24/24,Christina & Jess,,,,,email ,"christina@ferngullystudio.com, ",
Grand Ave Florist,https://www.grandaveflorist.com/,Florist,08/13/24,,,,,,,,,
Sugar Magonila Massage,https://sugarmagnoliamassage.com/,Massage Palor,08/13/24,,,,,,,,,
Sidequest Fabrictations,https://www.sidequestfabrication.com/,"Machining, engraving and fabrication",08/13/24,,,,,,,,,
Ballons on Broadway,https://www.balloonsonbroadway.com/,Bulk and Custom Ballons,08/13/24,,,,,,,,,
Fossil Cartel,https://fossilcartel.com/,"Jewerly, Rock & Gift Shop",08/13/24,09/24/24,Susan Landa,,,,Wordpress,email,Info@fossilcartel.com,
Gary's Meadow Fresh,"https://garrysmeadowfresh.com/ ,  https://ladylanefarm.com/",Dairy Farm,08/24/24,09/24/24,Garry and Lacey Hansen,,,,React / Go Daddy Website Builder (lady lane) ,email,Info@ladylanefarm.com,
Pimp my drawing,https://pimpmydrawing.com/,"THIS IS A FREE LIBRARY OF CAD PEOPLE, DWG PEOPLE, SILHOUETTES, PERSONS & VECTOR PEOPLE FOR YOUR DRAWINGS\nNOW ALSO FEATURING CAD TREES, DWG CARS AND VECTOR PLANTS. HOPE YOU LIKE IT!",08/26/24,,,,,,,,,
Open peeps,https://www.openpeeps.com/,A hand-drawn illustration library.,08/26/24,,,,,,,,,
COMC,https://blog.comc.com/ & https://www.comc.com/,TCG Singles site,09/01/24,,,,,,,,,
Card Flgiht,https://www.cardflight.com/,Fintech - Card payment trasaction service,09/01/24,,,,,,,,,
Smarty Party Clothing Co.,https://shop.thesciencemaven.com/,Raven the Science Maven's badass clothes :) ,09/01/24,,,,,,,,,
Cucina Fresca,https://www.cucinafresca.com/,Gorument Foods,09/01/24,,,,,,,,,
Heart of the Gorge Sailing,https://www.heartofthegorgesailing.com/,Sailing on the Columbia River,09/01/24,,,,,,,,,
Portland Defender,https://portlanddefender.com/,Troy Pickard Attroney at Law,09/01/24,,,,,,,,,
Sisters of Prepentual Indulgence,https://www.thesisters.org/ (https://www.thesisters.org/kay),Queer non profit,09/01/24,,,,,,,,,
Kunokuniya,https://usa.kinokuniya.com/,Book store,09/01/24,,,,,,,,,
Gatti Law,https://www.gattilaw.com/,personal injury law firm,09/01/24,,,,,,,,,
Underdog Law,https://underdoglawyer.com/,Michael Fuller Attorney at Law (landlord tennat),09/01/24,,,,,,,,,
Murphy Law Group,https://www.oregonlandlord.net/,law Firm,09/01/24,,,,,,,,,
Swag NW,https://www.swagnw.com/,custom embrodiary ,09/01/24,,,,,,,,,
Symbipop Garden Shop,https://gardenshop.symbiop.com/,Plants & Landscaping,09/01/24,,,,,,,,,
Portland Nursey,https://www.portlandnursery.com/,Plants & Landscaping,09/01/24,09/24/24,Jon Denney,,,,,Email,jobs@portlandnursery.com,
Prescion Images,https://www.precisionimages.com/,Printing,09/01/24,,,,,,,,,
Birds & Bees Nursery ,https://birdsandbeespdx.com/,Plants & Landscaping,09/01/24,09/24/24,Caitlin Gaul and Amanda Lepley Simard,,,,Wordpress,Contact Form ,,
Keeper Coffee Co,https://keepercoffee.com/,Coffee Shop,09/01/24,,,,,,,,,
Proud Mary Coffee,https://proudmarycoffee.com/,Coffee Shop,09/01/24,,,,,,,,,
Stictch Works Lylod,https://www.stitchworkslloyd.com/index.html,custom embrodiary ,09/01/24,,,,,,,,,
Donna Gigguere Landscape Designs,https://giguerelandscapedesign.com/,Landscaping,09/01/24,,,,,,,,,
Noble root,https://nobleroot.com/,Landscaping,09/01/24,,,,,,,,,
Rebel Cricket,https://www.rebelcricket.com/,Screen printing,09/01/24,,,,,,,,,
Books with Pictures,https://bookswithpictures.com/,Comic Shop,09/01/24,09/23/24,Kaite,,,,WordPress,Email,bookswpictures@gmail.com,
Dragon Herbarium,https://dragonherbarium.com/,apothecary ,09/01/24,,,,,,,,,
Primrose Apthoecary,https://primroseapothecary.com/,apothecary ,09/01/24,,,,,,,,,
Seagrape Apthoecary,https://seagrapeapothecary.com/,apothecary ,09/01/24,,,,,,,,,
Lecare Pharmacy,https://www.lecarepharmacy.com/,Compunding pharmacy,09/08/24,,,,,,,,,
PS Taboo,https://www.pstaboo.com/,Consulting Agency,09/08/24,,,,,,,,,
Science Maven,https://thesciencemaven.com/,Sci Comm,09/10/24,,,,,,,,,
You're Wrong About,https://yourewrongabout.com/,Podcast,09/10/24,,,,,,,,,
Sarah Marhsall,https://www.remembersarahmarshall.com/,Podcaster/Writer,09/10/24,,,,,,,,,
Maxium Fun,https://maximumfun.org/,Podcasts,09/10/24,,,,,,,,,
Chelsey Weber Smith,https://www.chelseywebersmith.com/,Podcaster/Writer,09/10/24,,,,,,,,,
Nina's Creations,https://ninascreations.com/shop,Jewerly Vendor at Portland Saturday Market,09/11/24,,,,,,,,,
Nil Organic Tea,https://nilorganictea.com/,Tea vendor at  Portland Saturday Market,09/11/24,,,,,,,,,
Odd Fox and Fern,https://www.oddfoxandfern.com/,Art vendor at  Portland Saturday Market,09/11/24,,,,,,,,,
One Fork Carmels ,https://www.oneforkfarm.com/,Carmel Vendor at  Portland Saturday Market,09/12/24,,,,,,,,,
Oregon Leather Craft,https://www.oregonleathercraft.com/,Leather Goods Vendor at  Portland Saturday Market,09/12/24,,,,,,,,,
Out of the Cloest Wear,http://outoftheclosetartwear.com/index.html,Tie Dye Vendor at  Portland Saturday Market,09/12/24,,,,,,,,,
Pane Pen to Jewerly Designs,https://panepentojewelrydesigns.com/,Jewerly Vendor at  Portland Saturday Market,09/12/24,,,,,,,,,
Rich Glass Studio,https://richglassstudio.square.site/,Blown Glass Vendor art  Portland Saturday Market,09/12/24,,,,,,,,,
PDX Coasters,https://pdxcoasters.com/,Coaster Vendor at  Portland Saturday Market,09/12/24,,,,,,,,,
KT Rocks,https://ktrocks.net/,Artisinal Gemstone Jewerly Vendor at  Portland Saturday Market,09/12/24,,,,,,,,,
The Spoiled Cat,https://www.thespoiledcat.com/,cat nip product vendor at  Portland Saturday Market,09/12/24,,,,,,,,,
Tiny Owl Jewerly,https://www.tinyowljewelry.com/,Jewerly Vendor at  Portland Saturday Market,09/12/24,,,,,,,,,
Touch the Sky,https://www.touchthesky.net/,Leather Books Vendor at  Portland Saturday Market,09/12/24,,,,,,,,,
What if Creations,https://whatifcreations.com/,Hybrid Animal Art & Gift Vendor at  Portland Saturday Market,09/12/24,,,,,,,,,
Moon Light Lamps,https://moonlightlampstore.com/,Lamp Vendor  Portland Saturday Market,09/12/24,,,,,,,,,
Moonstruck Desgins,https://moonstruckdesignspdx.com/,Jewerly Vendor at  Portland Saturday Market,09/12/24,,,,,,,,,
Kyle's Gallery,https://kylesgallery.com/,Star Wars in classic Art prints  Portland Saturday Market,09/12/24,,,,,,,,,
Loupe,https://loupe.team/,Robots,09/16/24,,,,,,,,,
Top of the Line Games,https://totlgames.com/,retro games,09/23/24,,Lindsay Frey,,,,Sqaurespace,email ,TOTLdesktop@gmail.com,
